exam_name,exam_link,overview,upcoming_date,conducting_body,exam_level,exam_frequency,mode_of_exam,exam_pattern,eligibility_criteria,courses_offered,application_fees,exam_duration,total_marks,total_questions,marking_scheme,medium_of_exam,colleges_accepting_exam_score,official_website,contact_details,latest_updates
Gujarat Common Entrance Test (GUJCET),https://www.shiksha.com/engineering/gujcet-exam,,"2 May '23 - , ,30 May '23,GUJCET 2023 Result",Gujarat Secondary and Higher Secondary Education Board (GSEB),"Undergraduate Exam, State Level",Once a year,NA,NA,NA,NA,NA,3 hours,"Mathematics (40 marks), Physics and Chemistry (80 marks) for Engineering Course,Biology (40 marks), Physics and Chemistry (80 marks) for Pharmacy Course",NA,"1 Mark for each correct response,-0.25 Marks for the correct answer","English, Hindi, Gujarati",Around 50 Institutes,www. gujcet.gseb.org,Contact Number: 079 23226016; 079 23223054,GUJCET 2023: Gujarat Secondary and Higher Secondary Education Board (GSEB) has released the GUJCET 2023 result. GUJCET result 2023 has been announced online on the website gseb.org. Candidates will need to login on the website using their application number and date of birth for downloading their GUJCET scorecard.
TNEA,https://www.shiksha.com/engineering/tnea-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
GATE,https://www.shiksha.com/engineering/gate-exam,,NA,NA,All India Level,Once a year,NA,NA,NA,NA,NA,3 hours (180 minutes),NA,NA,NA,NA,NA,gate.iitk.ac.in,NA,GATE 2023: IIT Kanpur has released the GATE scorecard 2023. Candidates can download their scorecard of GATE 2023 using the direct link given below or from the GOAPS 2023 candidate login at app.gate.iitk.ac.in.
TS EAMCET,https://www.shiksha.com/engineering/ts-eamcet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lovely Professional University National Entrance and Scholarship Test,https://www.shiksha.com/engineering/lpu-nest-exam,,"6 May '23 - , ,8 May '23,LPUNEST 2023 Counselling - Round 1- Current Schedule - II",Lovely Professional University,Undergraduate Exam at National level,Every month,Computed Based Test (CBT),NA,NA,NA,"INR 1000 (Male),INR 500 (Female)",150 minutes,,125 questions,,NA,NA,nest.lpu.in,,LPUNEST 2023:
JEE Advanced,https://www.shiksha.com/engineering/jee-advanced-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MET,https://www.shiksha.com/engineering/met-exam,,"18 Apr '23 - , ,15 May '23,MET 2023 application form - Second Attempt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 
JET,https://www.shiksha.com/engineering/jet-exam,,"16 May '23,JET BTech 2023 last date for seat confirmation",Jain University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JET 2023: 
JEXPO,https://www.shiksha.com/engineering/jexpo-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SRMJEEE,https://www.shiksha.com/engineering/srmjeee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BITS HD,https://www.shiksha.com/engineering/bits-hd-exam,"BITS HD test is a National level entrance test, and candidates across the country can apply for the BITS HD examination. The Exam is conducted once a year, in online mode. ","7 May '23 - , ,12 May '23,Deadline for Payment of fees by candidates offeblack admission through GATE/GPAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BITS HD 2023 -
TS POLYCET,https://www.shiksha.com/exams/ts-polycet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/bharati-vidyapeeth/bvp-cet-exam,,"30 Jan '23 - , ,1 Jun '23,BVP CET 2023 registration date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BVP CET 2023: 
PES University Scholastic Aptitude Test or PESSAT,https://www.shiksha.com/university/pes-university/pessat-exam,,"17 Oct '22 - , ,9 May '23,PESSAT 2023 Registration for outside Bengaluru candidates",PES University Bangalore,Undergraduate Exam at National level,Once a year,Computed Based Test (CBT),NA,NA,NA,INR 650,3 hours,1 Paper of 180 marks,,,English,"PES University Ring Road Campus,PES University Electronic City Campus,PES University Hanumanth Nagar Campus",pessat.com," +91 80 26721983, +91 80 26722108, , ",PESSAT 2023 registration has started. Interested candidates can apply online using the direct link given here.
AME CET,https://www.shiksha.com/engineering/ame-cet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAT India,https://www.shiksha.com/exams/sat-india-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TS PGECET,https://www.shiksha.com/engineering/ts-pgecet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAAT,https://www.shiksha.com/exams/saat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/ycmou-yashwantrao-chavan-maharashtra-open-university/ycmou-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AEEE,https://www.shiksha.com/engineering/aeee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/college/asia-pacific-institute-of-management/nat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NTA,https://www.shiksha.com/exams/nta-exam,UGC NET full form is University Grants Commission National Eligibility Test. NTA conducts UGC NET exam every year to determine the eligibility of candidates for only Assistant Professor or both Junior Research Fellowship (JRF) and Assistant Professor posts in Indian universities and colleges.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEE Main:
GCET,https://www.shiksha.com/engineering/gcet-exam,,"13 May '23 - , ,14 May '23,GCET 2023 Exam Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GCET 2023 registration
PERA CET,https://www.shiksha.com/engineering/pera-cet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NUCAT,https://www.shiksha.com/engineering/nucat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HPCET,https://www.shiksha.com/engineering/hpcet-exam,,"14 May '23,HPCET 2023 Exam Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 
,https://www.shiksha.com/university/north-eastern-regional-institute-of-science-and-technology-nerist/nerist-entrance-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TNJEE,https://www.shiksha.com/exams/tnjee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
IIITH UGEE,https://www.shiksha.com/engineering/iiith-ugee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AP ECET,https://www.shiksha.com/engineering/ap-ecet-exam,,"12 Jun '23,AP ECET 2023 admit card",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CG PET,https://www.shiksha.com/engineering/cg-pet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Uni-GAUGE,https://www.shiksha.com/engineering/uni-gauge-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AISEEE,https://www.shiksha.com/engineering/aiseee-exam,Upload the scanned copy of the photograph and signature as per the specifications asked. The size must be less than 50KB and the image format must be JPEG or JPG.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Step-1: Registration:
,https://www.shiksha.com/exams/kalsee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AUSAT,https://www.shiksha.com/university/alliance-university-bangalore/ausat-exam,,"14 Nov '22 - , ,26 May '23,AUSAT 2023 registration process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.alliance.edu.in,NA,AUSAT 2023 registrations
KEE,https://www.shiksha.com/engineering/kee-exam,,"12 May '23,KEE Exam date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KEE 2023
GAT (PGT),https://www.shiksha.com/engineering/gat-pgt-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
JEECUP,https://www.shiksha.com/exams/jeecup-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CUSAT CAT,https://www.shiksha.com/engineering/cusat-cat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CUSAT CAT 2023 - 
NMIMS CET,https://www.shiksha.com/exams/nmims-cet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
UPESEAT,https://www.shiksha.com/engineering/upeseat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AMIE Exam,https://www.shiksha.com/engineering/amie-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assam CEE,https://www.shiksha.com/engineering/assam-cee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SVUEET,https://www.shiksha.com/engineering/svueet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/chandigarh-university-cu/cucet-chandigarh-university-exam,,"28 Nov '22 - , ,29 May '23,CUCET 2023 Application Form Dates - Phase 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
HP LEET,https://www.shiksha.com/engineering/hp-leet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Jharkhand Polytechnic,https://www.shiksha.com/exams/jharkhand-polytechnic-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"CMR University Admission,Test (CMRUAT)",https://www.shiksha.com/university/cmr-university/cmruat-exam,,NA,NA,National ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.cmr.edu.in,NA, 
Sister Nivedita University Entrance Test or SNUET,https://www.shiksha.com/engineering/snuet-exam,,NA,Sister Nivedita University,Undergraduate Exam at National level,Once a year,Computed Based Test (CBT),NA,NA,NA,NA,1.5 hours for BTech/ BArch/ BPlan,"One paper with five sections, total 100 marks",Five sections with 10 questions each,,English,Sister Nivedita University,snuniv.ac.in," +91 7595044470; 7595044471; 7595044472, 1800 2588 155",SNUET 2023 application form will be released by Sister Nivedita University tentatively in January. SNUET 2023 exam is likely to be conducted in several phases between February to June. SNUET 2023 BTech admission test will be conducted online only at the university campus and also as a home-based remote proctored exam in which candidates can appear from their homes with a computer. 
HP PAT,https://www.shiksha.com/exams/hp-pat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
KRLMPCA CET,https://www.shiksha.com/engineering/krlmpca-cet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VITMEE,https://www.shiksha.com/engineering/vitmee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REVA PET,https://www.shiksha.com/exams/reva-pet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Diploma-Certificate Entrance Competitive Examination,https://www.shiksha.com/engineering/dcece-exam,,"22 Apr '23 - , ,16 May '23,DCECE registrations",Bihar Combined Entrance Competitive Examination Board (BCECEB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCECE 2023: Bihar Combined Entrance Competitive Examination Board (BCECEB) has started the
KLEEE,https://www.shiksha.com/engineering/kleee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/sathyabama-institute-of-science-and-technology/saeee-exam,,"Jun '23,Declaration of result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DCET,https://www.shiksha.com/engineering/dcet-exam,,"Sep '23,DCET 2023 application form",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCET 2023:  
DTU LEET,https://www.shiksha.com/exams/dtu-leet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VOCLET,https://www.shiksha.com/engineering/voclet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assam PAT,https://www.shiksha.com/engineering/assam-pat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/exams/isi-admission-test-exam/mtech-1139,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/andhra-university-visakhapatnam/aueet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SITEEE,https://www.shiksha.com/engineering/siteee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
GITAM GAT or GITAM Admission Test (GAT),https://www.shiksha.com/engineering/gitam-gat-exam,,NA,GITAM University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CUSAT DAT,https://www.shiksha.com/engineering/cusat-dat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
IEMJEE,https://www.shiksha.com/exams/iemjee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IEMJEE 2023 -
UBTER JEEP,https://www.shiksha.com/exams/ubter-jeep-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DTE Kerala LET,https://www.shiksha.com/engineering/dte-kerala-let-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/college/tolani-maritime-institute-tmi/tmisat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
JNU CEEB,https://www.shiksha.com/engineering/jnu-ceeb-exam,,"13 May '23,GAT B/BET exam date 2023",NA,NA,NA,NA,NA,NA,NA,"INR 1,200 (General/OBC-NCL/EWS) ,INR 600 (SC, ST and PwD) ",NA,"GAT-B - 160 ,BET - 200 ",NA,NA,NA,NA,dbt.nta.ac.in ,NA,GAT B/BET 2023 - 
GIETEE,https://www.shiksha.com/engineering/gietee-exam,Candidates are advised to check the eligibility criteria of GIET University which every candidate has to fulfil in order to get admission to the institute. The complete details of  GIETEE eligibility criteria can be checked below. Candidates not fulfilling the conditions of eligibility will not be considered for admission.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Qualifying Examination
admission,https://www.shiksha.com/university/shoolini-university-solan-31257/admission,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AJEE,https://www.shiksha.com/engineering/ajee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DEEET,https://www.shiksha.com/engineering/deeet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
JKCET,https://www.shiksha.com/engineering/jkcet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
TS ECET,https://www.shiksha.com/engineering/ts-ecet-exam,,"8 May '23 - , ,13 May '23,TS ECET 2023 application form correction facility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 
Banasthali University Aptitude Test,https://www.shiksha.com/engineering/banasthali-university-aptitude-test-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology/vtueee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/ct-university-ctu/ct-set-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/andhra-university-visakhapatnam/ap-pgecet-exam,,"7 May '23 - , ,10 May '23,AP PGECET 2023 Application form availability with a late fee of INR 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,
CGET,https://www.shiksha.com/engineering/cget-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CEETA,https://www.shiksha.com/engineering/ceeta-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OJEE,https://www.shiksha.com/mba/ojee-exam,,"8 May '23 - , ,12 May '23,OJEE 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May 8, 2023, to May 12, 2023"
JESNU,https://www.shiksha.com/exams/jesnu-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q. What is JESNU?
RPET,https://www.shiksha.com/engineering/rpet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
JEECE,https://www.shiksha.com/engineering/jeece-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/b-s-abdur-rahman-crescent-institute-of-science-and-technology/cieat-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
IIITH PGEE,https://www.shiksha.com/engineering/iiith-pgee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SEE,https://www.shiksha.com/exams/see-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CET Delhi,https://www.shiksha.com/exams/cet-delhi-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WBJEE JELET,https://www.shiksha.com/engineering/wbjee-jelet-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SUAT,https://www.shiksha.com/engineering/suat-exam,,"May '23,Release of result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DSAT,https://www.shiksha.com/engineering/dsat-exam," Open the official website and submit the details comprising the candidate’s name, email id, mobile number and password. Select the details of the state and city from which you are applying for the exam and enter the captcha code to register successfully for the exam.","18 Dec '22 - , ,29 Jul '23,Application Form Dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The DSAT 2023 Application form is currently available.
,https://www.shiksha.com/university/amity-university-gurugram/amity-jee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ATIT,https://www.shiksha.com/engineering/atit-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VEE (VELS Entrance Exam),https://www.shiksha.com/engineering/vee-exam,,NA,"VELS Institute of Science, Technology and Advanced Studies (Deemed University)",University level,Once a year,NA,NA,NA,NA,NA,90 minutes,NA,NA,NA,NA,NA,,NA,VEE 2023 Application Form has been released. Application forms are available online on the institute's website and the direct link to apply is provided here. VEE 2023 exam will be conducted from April 24 to 29. 
WBUT PGET,https://www.shiksha.com/engineering/wbut-pget-exam,,"Jun '23,WBUT PGET 2023 Application form availability",NA,NA,NA,NA,NA,NA,NA,NA,1 Hour 30 Minutes,NA,NA,NA,NA,NA,NA,NA,
TJEE,https://www.shiksha.com/engineering/tjee-exam,,"6 May '23,TJEE 2023 answer key - final date to send feedback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TJEE 2023
,https://www.shiksha.com/university/reva-university/reva-cet-exam,,"May '23,Availability of admit card",REVA University,Undergraduate/Postgraduate,Annual,Online/Offline,NA,NA,NA,INR 1000,NA,NA,120,One mark for each correct answer and no negative marking for incorrect answers,English,NA,NA,NA,Candidates will be required to fill out the 
,https://www.shiksha.com/university/mizoram-university/mzueee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
JLEE,https://www.shiksha.com/engineering/jlee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Integral University Entrance Test,https://www.shiksha.com/university/integral-university-iul/iuet-exam,,"May '23,IUET 2023  Result","Integral University, U.P.",NA,Yearly,Computed Based Test (CBT),NA,NA,NA,NA,90 minutes,NA,100 questions,,NA,NA,https://iul.ac.in/,NA,IUET 2023 
,https://www.shiksha.com/university/hindustan-institute-of-technology-and-science/hitseee-exam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,https://www.shiksha.com/university/gla-university/glaet-exam,,"Feb '23, - ,Jun '23,Application process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GLAET 2023:
