college_name,about,address,affiliated,state,college_type,established,exam,courses,accreditations,approvals,gender,student_count,faculty_count,gender_percentage,campus_size,website_link
"Central Institute of Petrochemicals Engineering and Technology, Chennai","was established in the year ,in Chennai. The ,campus is located in Chennai's Guindy Industrial Estate. All modes of transportation connect to the campus. The facility includes laboratories, classrooms, numerous departments, a library, cafeteria, and hostels, among other amenities. The Plastics Testing Centre is accredited by NABL. CIPET Chennai is an ISO certified institution for Academic and Technology Support Services. Central Institute of Petrochemicals Engineering and Technology is affiliated to ,. ","Central Institute of Petrochemicals Engineering and Technology, Jawaharlal Nehru Road, T.V.K Industrial Estate, Guindy, Chennai - 600032, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Government,1968,NA,"4, Degrees and , ,8, Courses",NA,Affiliated,Co-ed,550,53,NA,"19, acres",https://www.careers360.com/colleges/central-institute-of-petrochemicals-engineering-and-technology-chennai
"Chettinad College of Engineering and Technology, Karur",NA,"Chettinad College of Engineering and Technology, NH-67, Karur-Trichy Highways, Puliyur CF, Karur, Tamil Nadu,Pincode: 639114, India","Anna University, Chennai",Tamil Nadu,Private,2007,NA,"3, Degrees and, ,8, Courses",NA,Affiliated,Co-ed,836,83,Male 64% and Female 36%,"48, acres",https://www.careers360.com/colleges/chettinad-college-of-engineering-and-technology-karur
"Chennai Institute of Technology, Chennai"," is a private college. CIT Chennai has been approved by the All India Council for Technical Education (AICTE). The institute has been accredited by both the National Assessment and Accreditation Council (NAAC) with 'A+' grade and the National Board of Accreditation (NBA). Chennai Institute of Technology has been recognised by the University Grants Commission (UGC). CIT Chennai is affiliated to the ,. The campus area covered by the Chennai Institute of Technology is 11 acres. Chennai Institute of Technology has a total of 225 faculty members and the total student enrollment is 2516. Chennai Institute of Technology facilities include separate hostels for boys and girls, a library, sports, an auditorium and many more. Chennai Institute of Technology offers admission in the UG, PG and doctoral level programmes in regular mode.","Chennai Institute of Technology,Sarathy Nagar, Nandhambakkam (Post), Kundrathur, Chennai - 600069, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2010,TANCET,"3, Degrees and, ,17, Courses",NAAC,Affiliated,Co-ed,2516,225,Male 73% and Female 27%,"11, acres",https://www.careers360.com/colleges/chennai-institute-of-technology-chennai
"Dhanalakshmi College of Engineering, Chennai"," was established in the year ,. The campus is spread over 13 acres of land. The institute functions under the Dhanalakshmi Education Trust. DCE Chennai is affiliated to , and is approved by the All India Council for Technical Education, Ministry of Human Resource Development, Government of India, New Delhi. DCE Chennai is also accredited by the National Assessment and Accreditation Council (NAAC). The college is a sister institute of the Indian Institute of Professional Education (IIPE). Dhanalakshmi College of Engineering, Chennai offers 3 postgraduate programmes and 5 undergraduate programmes to the students. The college has a total of 113 faculty members and the total student enrollment is 1165.","Dhanalakshmi College of Engineering, Dr. V. P. R Nagar, Off. Tambaram Sriperumbudur Road (via Manimangalam) (10 km from Tambaram on Kishkhinta Road) Manimangalam Post, Chennai - 601301 Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"2, Degrees and , ,9, Courses",NAAC,Affiliated,Co-ed,1165,113,Male 64% and Female 36%,"13, acres",https://www.careers360.com/colleges/dhanalakshmi-college-of-engineering-chennai
"CK College of Engineering and Technology, Cuddalore",NA,"CK College of Engineering and Technology, Jayaram Nagar, Chellangkuppam, Cuddalore - 607003, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2002,NA,"3, Degrees and , ,8, Courses",NAAC,Affiliated,Co-ed,907,111,Male 66% and Female 34%,"17, acres",https://www.careers360.com/colleges/ck-college-of-engineering-and-technology-cuddalore
"Coimbatore Institute of Technology, Coimbatore","‌Coimbatore‌ ‌Institute‌ ‌of‌ ‌Technology (CIT), Coimbatore is ‌a‌ ‌government-aided ‌institute‌ ‌affiliated‌ ‌to‌ ‌Anna‌ ‌University‌ ‌and was‌ ‌established‌ ‌in 1956 by‌ ‌V.Rangaswamy‌ ‌Naidu‌ ‌Educational‌ ‌Trust‌ ‌with‌ ‌an‌ ‌aim‌ ‌of‌ ‌providing‌ ‌knowledge‌ to‌ ‌the‌ ‌students‌ ‌interested‌ ‌in‌ ‌engineering,‌ ‌technology‌ ‌and‌ ‌science‌ ‌field.‌ ‌Coimbatore Institute of Technology ‌has‌ ‌signed‌ ‌MoU‌ ‌with‌ ‌several‌ ‌national & international organisations‌ ‌such‌ ‌as‌ ‌Sector‌ ‌skills,‌ ‌Texas‌ ‌Tech‌ ‌University,‌ ‌Bharat‌ ‌Sanchar‌ ‌Nigam‌ ‌Ltd‌ & ‌Dr.‌ ‌Fixit‌ ‌Institute‌ ‌of‌ ‌Structural‌ ‌Protection.‌ ‌The‌ ‌institute‌ ‌offers‌ ‌undergraduate‌ ‌courses,‌ ‌integrated‌ ‌M.Sc‌ ‌Courses,‌ ‌Ph.D ‌programmes‌ ‌and‌ ‌postgraduate‌ ‌courses.‌ ‌Coimbatore Institute of Technology has been ranked 102 in NIRF Engineering Ranking 2021. Furthermore, it is‌ ‌accredited‌ with an ‌'A'‌ grade ‌by‌ ‌the‌ ‌NAAC.‌ ‌","Coimbatore Institute of Technology, Civil Aerodrome Post, Coimbatore - 641014, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Government,1956,TANCET,"6, Degrees and, ,40, Courses",NAAC,Autonomous,Co-ed,3114,252,Male 70% and Female 30%,"10, acres",https://www.careers360.com/colleges/coimbatore-institute-of-technology-coimbatore
"D J Academy of Design, Coimbatore",NA,"D J Academy of Design, Coimbatore-Pollachi Road, Othakkalmandapam, Coimbatore-641032, Tamil Nadu, India","Alagappa University, Karaikudi",Tamil Nadu,Private,2004,NA,"2, Degrees and , ,4, Courses",NA,Affiliated,Co-ed,NA,5,NA,"21, acres",https://www.careers360.com/colleges/d-j-academy-of-design-coimbatore
"CMS College of Engineering, Namakkal",NA,"CMS College of Engineering, CMS Nagar, Eranapuram, Namakkal-637003, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,2007,NA,"2, Degrees and , ,7, Courses",NA,Affiliated,Co-ed,182,58,NA,"16, acres",https://www.careers360.com/colleges/cms-college-of-engineering-namakkal
"Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",NA,"Ayya Nadar Janaki Ammal Polytechnic College, Chinnakkkamanpatti, Sivakasi East, Tamil Nadu, Pin code: 626189, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1982,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,Co-ed,437,23,NA,"64, acres",https://www.careers360.com/colleges/ayya-nadar-janaki-ammal-polytechnic-college-sivakasi
"Aarupadai Veedu Institute of Technology, Kancheepuram",NA,"Aarupadai Veedu Institute of Technology, Vinayaka Nagar, Old Mahabalipuram Road, Paiyanoor, Kancheepuram-Dist, Chennai, Tamil Nadu-603104, India","Vinayaka Mission's Research Foundation, Salem",Tamil Nadu,Private,1998,NA,"5, Degrees and , ,57, Courses",NA,Constituent,Co-ed,2423,174,Male 91% and Female 9%,"24, acres",https://www.careers360.com/colleges/aarupadai-veedu-institute-of-technology-kancheepuram
"Dhanalakshmi Srinivasan College of Engineering and Technology, Chennai",NA,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Pincode: 603104,  Mamallapuram, Chennai, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,TANCET,"4, Degrees and, ,18, Courses",NAAC,Affiliated,Co-ed,1472,264,NA,"15, acres",https://www.careers360.com/colleges/dhanalakshmi-srinivasan-college-of-engineering-and-technology-chennai
"Government College of Engineering, Bargur","was established in the year 1994. It is a government co-educational institute. The campus is spread over 50 acres of land. GCE Bargur is approved by the All India Council for Technical Education (AICTE) and recognised by the University Grants Commission (UGC). The college has a total faculty size of 47 and the student enrollment is 477. GCE Bargur is affiliated to ,. ","Government College of Engineering, NH 46, Bargur, Krishnagiri, Tamil Nadu - 635104, India","Anna University, Chennai",Tamil Nadu,Government,1994,NA,"2, Degrees and , ,8, Courses",NA,Affiliated,Co-ed,877,44,Male 68% and Female 32%,"50, acres",https://www.careers360.com/colleges/government-college-of-engineering-bargur
"Government College of Engineering, Salem"," was established in 1966. GCE Salem has been approved by the AICTE. The institute has been accredited by NAAC. It is an autonomous institute affiliated with ,. Government College of Engineering Salem is a publicly owned co-ed college. The total number of faculty members is more than 80 and the total student enrollment is more than 2,000. The vision of the college is ‘To create excellent engineers not only in the field of Science and Technology but also in good citizenship and discipline’","Government College of Engineering, Salem, NH 7, Bangalore Highways, Salem, Tamil Nadu - 636011","Anna University, Chennai",Tamil Nadu,Government,1966,NA,"2, Degrees and, ,12, Courses",NAAC,Autonomous,Co-ed,2045,84,Male 66% and Female 34%,NA,https://www.careers360.com/colleges/government-college-of-engineering-salem
"Government College of Engineering, Dharmapuri",NA,"Government College of Engineering, Chettikarai, Dharmapuri, Tamil Nadu-636704, India","Anna University, Chennai",Tamil Nadu,Government,2013,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,1057,31,NA,"21, acres",https://www.careers360.com/colleges/government-college-of-engineering-dharmapuri
"Government Arts College, Udhagamandalam",NA,"Government Arts College Udhagamandalam, Stone House Hill Post, The Nilgiris, Tamil Nadu-643002, India","Bharathiar University, Coimbatore",Tamil Nadu,Government,1955,NA,"8, Degrees and , ,73, Courses",NAAC,Affiliated,NA,4803,60,Male 54% and Female 46%,"9, acres",https://www.careers360.com/colleges/government-arts-college-udhagamandalam
"Government College of Engineering, Bodinayakanur",NA,"Government College of Engineering, Bodinayakannur, Theni Dt, Pincode 625582, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Government,2012,NA,"1, Degrees and, ,5, Courses",NA,Affiliated,NA,1123,28,Male 69% and Female 31%,"10, acres",https://www.careers360.com/colleges/government-college-of-engineering-bodinayakanur
"Bharathidasan University, Tiruchirappalli","Bharathidasan University (BDU) Tiruchirappalli was founded in 1982, named after the revolutionary poet “Bharathidasan”. The main campus of the university is located in the area of 1000 acres in Palkalaiperur surrounded by lavish greenery. Some of the south campuses of the university are donated to the Anna University of Technology. A very small section of the university has been allotted to the Indian Institute of Management (IIM), Tiruchirappalli. The main campus area of the university is 631.17 acres and the university also has a campus in Khajamalai spread over 52.56 acres of land. This is the autonomous post-graduate centre of the Bharathidasan University, Tiruchirappalli. BDU Tiruchirappalli also has Schools of Mathematics, Chemistry, Life Sciences, Physics, Geosciences, Social Sciences, Basic Medical Sciences, Languages and the Schools of Marine Sciences. As per the NIRF ranking for the year 2021, the varsity has been ranked 57 in the university category whereas it was ranked 53 in the NIRF ranking 2020 for the same category. In the NIRF rankings of 2021, the university has been ranked 90th1st in the overall category.","Bharathidasan University, Palkalaiperur Tiruchirappalli-620024, Tamil Nadu. India",NA,Tamil Nadu,Government,1982,TANCET,"35, Degrees and, ,3496, Courses",NAAC,UGC,Co-ed,27619,152,Male 44% and Female 56%,"631, acres",https://www.careers360.com/university/bharathidasan-university-tiruchirappalli
"Bharathiar University, Coimbatore"," by the Government of Tamilnadu. The university was established under the Bharathiar University Act, 1981. Bharathiar University, Coimbatore is accredited by the National Assessment and Accreditation Council (NAAC) with grade A. The university is also recognised by the University Grants Commission (UGC). As per the NIRF Ranking 2021, Bharathiar University, Coimbatore has been ranked at 14th position in the university category and at 22nd position in the overall category. The university also has a research centre in association with DRDO, Ministry of Defence, Government of India for basic and applied research activities.","Bharathiar University, Maruthamalai Road, Coimbatore, Tamil Nadu - 641046, India",NA,Tamil Nadu,Government,1982,"OJEE,TANCET,KMAT","33, Degrees and, ,3558, Courses",NAAC,UGC,Co-ed,57027,226,Male 56% and Female 44%,"1000, acres",https://www.careers360.com/university/bharathiar-university-coimbatore
"Government College of Engineering, Srirangam",NA,"Government College of Engineering, Srirangam, Trichy-Madurai Highway, Sethurappatti Road, Trichy-620012, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Government,2013,NA,"1, Degrees and , ,5, Courses",NA,Affiliated,NA,1014,54,NA,"10, acres",https://www.careers360.com/colleges/government-college-of-engineering-srirangam
"Government College of Technology, Coimbatore"," was established in 1945. It is also known as GCT Coimbatore. It is affiliated to ,. Government College of Technology, Coimbatore was formerly known as Arthur Hope College of Technology. The total number of faculty members in the college is 129 and the total student enrollments are 3152. GCT Coimbatore is accredited by the NBA and the NAAC with a grade “A”. In the NIRF 2021 ranking, GCT Coimbatore has been ranked 128th in the engineering category. The college is approved by the All India Council for Technical Education (AICTE). ","Government College of Technology, Thadagam RoadCoimbatore - 641013, Tamil Nadu","Anna University, Chennai",Tamil Nadu,Government,1945,TANCET,"4, Degrees and, ,34, Courses",NAAC,Autonomous,Co-ed,3152,131,Male 62% and Female 38%,NA,https://www.careers360.com/colleges/government-college-of-technology-coimbatore
"Gnanamani College of Technology, Namakkal",NA,"Gnanamani College of Technology, NH-7, A.K.Samuthiram, Pachal-PO, Namakkal-637018, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2006,NA,"4, Degrees and , ,25, Courses",NAAC,Affiliated,NA,2502,308,Male 69% and Female 31%,"22, acres",https://www.careers360.com/colleges/gnanamani-college-of-technology-namakkal
"Ganadipathy Tulsi's Jain Engineering College, Vellore",NA,"Ganadipathy Tulsi's Jain Engineering College, Chittoor-Cuddalore Road, Kaniyambadi, Vellore-632102, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,2000,TANCET,"3, Degrees and, ,8, Courses",NAAC,Affiliated,Co-ed,633,80,NA,"42, acres",https://www.careers360.com/colleges/ganadipathy-tulsis-jain-engineering-college-vellore
"G Venkataswamy Naidu College, Kovilpatti","The G Venkataswamy Naidu College (GVNC) is located in the state of Tamil Nadu (TN). To be precise, the site is in the town of Kovilpatti, which is in the Thoothukudi district. The college was established back in the year 1966. The college campus runs over a total area worth seventy- two acres of land. The GVNC is affiliated to the Manonmaniam Sundaranar University (MSU), based out of Tirunelveli, in the same state of Tamil Nadu. This university was carved out of the Madurai Kamraj University, back in 1990. This affiliation to the MSU, ensures that the G Venkataswamy Naidu College meets the approval of the UGC (University Grants Commission).","G Venkataswamy Naidu CollegeSH 44, Newappaneri, Kovilpatti. Thoothukudi-628502, Tamilnadu, India","Manonmaniam Sundaranar University, Tirunelveli",Tamil Nadu,Private,1966,NA,"8, Degrees and, ,23, Courses",NAAC,Affiliated,Co-ed,1954,102,Male 34% and Female 66%,"72, acres",https://www.careers360.com/colleges/g-venkataswamy-naidu-college-kovilpatti
"Hindusthan College of Arts and Science, Coimbatore",NA,"Hindusthan College of Arts and Science, Hindusthan Gardens, (Behind Nava India), Avinashi Road, Coimbatore–641028, Tamil Nadu, India","Bharathiar University, Coimbatore",Tamil Nadu,Private,1998,NA,"14, Degrees and, ,86, Courses",NAAC,Autonomous,Co-ed,8413,354,Male 77% and Female 23%,"17, acres",https://www.careers360.com/colleges/hindusthan-college-of-arts-and-science-coimbatore
"Hindusthan College of Engineering and Technology, Coimbatore","The Hindusthan College of Engineering and Technology (HICET) is an autonomous college, established in the year 2000. It is approved by AICTE, New Delhi, and is affiliated with Anna University, Chennai. The college has accreditation from the NBA. It offers B.E and M.E programs in engineering and technology. It offers B.E.programme in Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Information Technology, Aeronautical Engineering, Civil Engineering, Mechatronics Engineering, Biomedical Engineering,  and Agriculture Engineering. The college offers a B.Tech program in Food Technology and Chemical Engineering. The college also offers M.E and a program in engineering.","Hindusthan College of Engineering and Technology, Othakkalmandapam (Post) Pollachi Main Road, Coimbatore-641032, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2000,TANCET,"4, Degrees and, ,22, Courses",NAAC,Autonomous,Co-ed,4637,449,Male 88% and Female 12%,"31, acres",https://www.careers360.com/colleges/hindusthan-college-of-engineering-and-technology-coimbatore
"Hindustan Institute of Engineering Technology Aviation College, Kanchipuram",NA,"Hindustan Institute of Engineering Technology Aviation College, Navalur Road, Vellarithangal-Village, Serapanancheri-Post, Distirct. Kanchipuram-601301, Tamil Nadu, India","Directorate of Technical Education, Chennai",Tamil Nadu,Private,1966,NA,"1, Degrees and , ,2, Courses",NA,Affiliated,Co-ed,NA,21,NA,NA,https://www.careers360.com/colleges/hindustan-institute-of-engineering-technology-aviation-college-kanchipuram
"Hindustan Institute of Maritime Training, Kalpakkam",NA,"Hindustan Institute of Maritime Training (HIMT), 11, Millers Road, Kilpauk, Chennai-600010, Tamil Nadu, India","Indian Maritime University, Chennai",Tamil Nadu,Private,1998,NA,"2, Degrees and , ,3, Courses",NA,Affiliated,NA,NA,15,NA,NA,https://www.careers360.com/colleges/hindustan-institute-of-maritime-training-kalpakkam
"IFET College of Engineering, Villupuram"," was established in ,  by the Indo French Educational Trust. It is a private institute located in Villupuram, Tamil Nadu. IFET Villupuram is affiliated to ,. It is approved by the All India Council for Technical Education (AICTE)., campus is spread over an area of 30 acres of land. The institute has been accredited by NBA and awarded a ‘B’ grade by NAAC. ,offers undergraduate and postgraduate programmes.  The total number of faculty members there in the institute is 182 and the total student enrollment is 1681.  ","IFET College of Engineering, Villupuram 605108, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1998,NA,"3, Degrees and , ,11, Courses",NAAC,Affiliated,Co-ed,1681,182,Male 66% and Female 34%,"30, acres",https://www.careers360.com/colleges/ifet-college-of-engineering-villupuram
Indian Institute of Information Technology Tiruchirappalli,"Indian Institute of Information Technology, Tiruchirappalli was established in 2013. IIIT Trichy is an Institute of National Importance and one among the 21 IIITs under the non-profit Public-Private Partnership (PPP) Model by MHRD. The institute aims to achieve world-class excellence in information and communication technology. Its mission is to impart information technology-based education to students and help them become future leaders. The institute engages in cutting edge technology research to meet the current needs and future challenges of India and the world at large.","Indian Institute of Information Technology Tiruchirappalli, IIIT Trichy, NIT Trichy Campus, Tanjore Main Road (NH67), Tiruchirappalli-620015, Tamil Nadu, India",NA,Tamil Nadu,Private,2013,JEE Main,"3, Degrees and, ,11, Courses",NA,NA,Co-ed,184,13,NA,"56, acres",https://www.careers360.com/university/indian-institute-of-information-technology-tiruchirappalli
Indian Institute of Information Technology Design and Manufacturing Kancheepuram," was established in the year 2007 by the Ministry of Human Resource Development, Government of India as Indian Institute of Information Technology Design and Manufacturing Kancheepuram. The institution is also known as IIITDM Kancheepuram. The campus is spread over 51 acres of land. Earlier the institute was functioning in the temporary campus at Indian Institute of Technology Madras. In the year 2011, it started functioning in its permanent campus at Kelambakkam-Vandalur road near Chennai. The mission and vision of the institute is to become a premier and world-class institution in the field of Design and Manufacturing that develops a generation of engineers. According to NIRF 2020, the institute has been ranked 182 in the engineering category.","Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram, Vandalur - Kelambakkam Road,Chennai - 600127",NA,Tamil Nadu,Government,2007,JEE Main,"5, Degrees and, ,22, Courses",NA,NA,Co-ed,1553,49,Male 85% and Female 15%,"51, acres",https://www.careers360.com/university/indian-institute-of-information-technology-design-and-manufacturing-kancheepuram
Indian Institute of Technology Madras," is an, that was , in the year ,. IIT Madras is an , by the ,. The institute offers a total of ,, out of which, is offered at the diploma level, , are offered at the UG level, , are offered at the PG level, and , are offered at the doctoral level. Students seeking admission in any of these courses must meet the eligibility criteria and eligible students can apply for admissions by filling the online application form.","Indian Institute of Technology Madras, IIT P.O., Chennai 600036, India",NA,Tamil Nadu,Government,1959,NA,"14, Degrees and, ,124, Courses",NA,NA,Co-ed,10224,592,Male 82% and Female 18%,"650, acres",https://www.careers360.com/university/indian-institute-of-technology-madras
"International Maritime Academy, Chennai",NA,"International Maritime Academy, No. 41, Jamin Korattur, Puduchatram, From Poonamallee to Tirupathi Highway Road, Chennai, Pincode 600124, Tamil Nadu, India","Annamalai University, Annamalai Nagar",Tamil Nadu,Private,NA,NA,"7, Degrees and, ,14, Courses",NA,Affiliated,NA,NA,NA,NA,NA,https://www.careers360.com/colleges/international-maritime-academy-chennai
"Jaya College of Arts and Science, Thiruninravur",NA,"Jaya College of Arts and Science, CTH Road, Thiruninravur, Chennai- 602024, Tamil Nadu, India","University of Madras, Chennai",Tamil Nadu,Private,1992,NA,"10, Degrees and , ,32, Courses",NA,Affiliated,Co-ed,3797,142,NA,NA,https://www.careers360.com/colleges/jaya-college-of-arts-and-science-thiruninravur
"Indian Maritime University, Chennai"," was established in 2008 through the Act of Parliament in November, 2008. Indian Maritime University is also known as IMU Chennai in short. IMU Chennai is a central university. Indian Maritime University was established to develop trained human resources for the maritime sector. This is a teaching cum affiliating university under the aegis of the Ministry of Shipping (MoS), Government of India (GoI). The University was set up with the objectives to promote maritime studies, training, research and extension with focus on emerging areas like oceanography, maritime laws, maritime security, search and rescue, transportation and environmental studies and more. Its establishment also promoted advanced knowledge through institutional and research facilities in the field of maritime. Indian Maritime University is categorised as a professional university. As it offers professional as well as non professional courses in naval and maritime studies. IMU Chennai offers diploma, undergraduate, postgraduate and doctoral programmes like B.Sc, BBA, B.Tech, M.Tech, MBA, Ph.D and more. Indian Maritime University admissions are done on the basis of a Common Entrance Test (IMU-CET) for all the maritime training courses approved by the Directorate General of Shipping. IMU Chennai has six campuses that offer all the above mentioned UG, PG and doctoral programmes at IMU, all the IMU campuses are listed below:","Indian Maritime University, East Coast Road Uthandi, Chennai, Pincode 600119, Tamil Nadu, India",NA,Tamil Nadu,Government,1985,"IMU CET,CUET","8, Degrees and , ,50, Courses",NA,UGC,NA,NA,16,NA,"20, acres",https://www.careers360.com/university/indian-maritime-university-chennai
