exam_name,about,full_exam_name,short_exam_name,conducting_body,freq_of_conduct,exam_level,languages,mode_of_application,application_fee,mode_of_exam,mode_of_counselling,exam_duration,number_of_seats,education,age,website_link,exam_pattern
GES Class 1 and Class 2 Exam,"Gujarat Public Service Commission (GPSC) conducts the GPSC GES class I and II exam. Candidates with a graduation degree in civil engineering or technology from any of the universities under the Central or a State Act in India and must be between 20 to 35 years of age can apply for the exam. GPSC GES class 1 and class 2 exam will be held in three stages - 1) Prelim exam 2) Main exam and 3) Interview. GPSC GES Prelims exam will weigh 500 marks. This will be an objective type, multiple choice based paper. GES Main exam will weigh 800 marks and will be a written-type exam. Interview for GPSC GES  will carry a weightage of 100 marks.",Gujarat Engineering Service Class 1 and Class 2 Exam,GES Class 1 and Class 2,Gujarat Public Service Commission,Vacancy Based,NA,"English, Gujarati",Online,100 Rs ,NA,NA,NA,58 Seats,NA,NA,https://gpsc.gujarat.gov.in/,"Being aware of the exam pattern is very helpful to prepare for the GPSC GES class 1 and 2 Prelims exam. Applicants can gain important information about the exam and include it in their study plan to tackle the exam. GPSC GES Prelims exam will be conducted in two papers, Paper-1 and Paper-2.,The total time duration for both parts is 5 hours and GPSC GES Prelims exam 2022 will weigh 500 marks.,Exam pattern for GPSC GES class 1 and 2 Main exam will be beneficial for preparation of students as it will help students in figuring out the exam dynamics like marking scheme, standard and types of questions, weightage of topics etc. The exam will be conducted in form of five papers. Read below for more information:,Total weightage of GPSC GES class 1 and class 2 Main exam 2022 will be 800 marks."
RRB Group D Exam," The Railway Recruitment Board has released the RRB Group D result 2022 for level 1 post in online on December 22 for RRB Guwahati, RRB Bhopal, RRB Kolkata on the official websites.  Board will declare the RRB Groud D 2022 results for other regions soon. The Board has conducted the Computer Based Mode online exam from August 17 to October 11, 2022. The RRB Group D 2022 answer key has been released online on October 14, 2022.",Railway Recruitment Boards Group D Exam,RRB Group D,Railway Recruitment Board,Vacancy Based,NA,"Assamese, Bengali ",Online,500 Rs ,Online and Offline,Online / Offline,NA,103769 Seats,NA,NA,NA,"Railway Recruitment Boards (RRBs) issued the RRB Group D admit card 2022 for level 1 post in online on August 13, 2022 on the RRB's official websites. The Board issues the admit card of RRB Group D separately for each stage of the exam. The admit card contains information including roll number, registration number, name of candidates, exam dates, timing, shift and exam centre address. The hall ticket is released region-wise in the online mode.,To download admit card, candidates have to log in with their registration number and date of birth. The admit card for each stage are released four days prior to the conduct of respective examinations. On the day of exam, candidates have to carry one photo identity proof along with the admit card of the concerned exam."
SSC CHSL Exam," The Staff Selection Commission conducted the SSC CHSL exam 2023 for tier 1 from March 9 to 21, 2023 at various exam centres across the country. The commission issued the SSC CHSL admit card 2023 for tier 1 exam for all regions on the official website. The SSC CHSL 2023 admit card for tier-1 can be downloaded by using the valid registration number and password. ",Staff Selection Commission Combined Higher Secondary Level Exam,SSC CHSL,Staff Selection Commission,Once a year,NA,"English, Hindi",Offline / Online,100 Rs ,Online and Offline,Online / Offline,NA,4500 Seats,NA,NA,NA,NA
MPPSC SFS Exam Exam,"Madhya Pradesh Public Service Commission (MPSC) conducts Madhya Pradesh Forest Service exam. There are five different exams for MP Forest Services viz., 1) Preliminary Exam, 2) Main Exam, 3) Physical Efficiency Test, 4) Physical Measurement Test and 5) Interview. Candidates are required to clear all the stages. ",Madhya Pradesh Forest Service Exam,MPPSC SFS Exam,Madhya Pradesh Public Service Commission,Once a year,NA,"English, Hindi",Online,250 Rs ,Offline,NA,4 Hours,63 Seats,NA,NA,https://mppsc.mp.gov.in/,"Exam pattern for MP Forest Services Prelims exam releases the marking scheme, weightage, typology of questions and much more. This will help to better your preparation in the exam. The exam will have objective based, multiple choice questions and the qualifying marks for this exam will be 40% for general and 30% for OBC/SC/ST. There will be no negative marking for this paper. Here is the MPPSC Forest Services Prelims exam pattern.,MP Forest Services Main exam will have two papers. Both the papers will weigh 200 marks each and will contain 100 questions each. All the questions will be objective based, multiple choice questions. Applicants will need to score at least 40% (General) to qualify for later stages of MP Forest Services. Here is the complete exam pattern for the Main exam:"
Odisha Police Constables Exam,"The Home Department of Government of Odisha conducts the Odisha Police Constable exam to recruit constables and civil constables (Male/Female). To apply, the minimum and maximum age limit for the exam is 18 years and 23 years respectively. Candidates must have passed 12th or equivalent from Odisha Board or any other recognised board. Also, knowing Odia language (Read, Write and Speak) is a must in order to be eligible to apply for the exam.  Candidates would need to go through multiple tests including Written test, Physical test, Driving test, etc. to qualify for the final position.",Odisha Police Constables Exam,Odisha Police Constables,Government of Odisha Home Department,NA,NA,English,Offline / Online,150 Rs ,Offline,Offline,NA,4790 Seats,NA,NA,https://odishapolice.gov.in/,"The admit card of Odisha Police Constable/Civil constable exam will be made available on the official website of Odisha Police. Candidates can download the admit card by entering the required login credentials in the login window. The admit card is a very important document. Without it, no candidate will be allowed to appear for the exam. It carries all the important details related to the exam such as exam centre, details of the candidate, exam day guidelines, etc. Candidates are supposed to carry the admit card along with a photo id proof on the exam day."
TANGEDCO AE Recruitment Exam,NA,TANGEDCO Assistant Engineer Recruitment,TANGEDCO AE Recruitment,Tamil Nadu Generation and Distribution Corporation,Vacancy Based,NA,NA,Online,1000 Rs ,Offline,Offline,2 Hours,NA,NA,NA,NA,"The exam conducting authority will issued admit card of TANGEDCO AE in online mode. The admit card will be issued to all those candidates who will successfully fill the application form. In order to download the admit card of TANGEDCO AE, candidates must use their registration number and password. TANGEDCO AE admit card reflects name of the candidates, photograph, registration number, exam dates and time, and centre. Candidates must check all the details mentioned on the admit card. A printout of the same must be taken out by the candidates and carry it to the exam centre on the day of exam. Along with the admit card, candidates must also carry one of the prescribed photo ID proofs – voter card, aadhaar card, PAN card, passport, driving license."
UP PCS J Exam,"UP Judicial Service Civil Judge (Junior Division) Examination is conducted by Uttar Pradesh Public Service Commission (UPPSC) for recruitment of Civil Judges (Group B Gazetted) in district courts of the state. The selection procedure of UP PCS J comprises – Preliminary, Mains Exam, and Interview. On the basis of the total marks obtained by candidates in the mains examination and interview, they will be selected for the posts.  ",Uttar Pradesh Public Service Commission Civil Judge Exam,UP PCS J,Uttar Pradesh Public Service Commission,Vacancy Based,NA,NA,NA,125 Rs ,Offline,Offline,NA,303 Seats,NA,NA,NA,"The admit card of UP PCS J will be released in three phases- Preliminary, Mains and Interview. First, UPPSC will release UP PCS J admit card for preliminary examination for candidates who will successfully register for the exam. UP PCS J admit card will be released online for all the stages. To download the admit card, candidates will have to enter the required login credentials. The admit card will carry details related to the date, time and centre of exam. After downloading the admit card, if candidates find any error on the same should inform the examination officials for correction. Candidates should bring the printed copy of UP PCS J admit card along with at least one identity proof to the exam centre for verification process.,UP PCS J admit card for mains exam will be issued to candidates qualifying the preliminary examination. Candidates who will qualify the mains exam will be issued admit card for appearing in the interview."
CDS Exam,"  The Union Public Service Commission will soon issue the UPSC CDS 1 admit card 2023 online on the official website - upsc.gov.in. The CDS 1 2023 exam is scheduled to be held on April 16, 2023. The authorities closed the UPSC CDS 1 application correction and withdrawal link 2023 on January 24 on the official website.",Combined Defence Services Examination,CDS,Union Public Service Commission,2 times a year,NA,"English, Hindi",Online,200 Rs ,Offline,Offline,6 Hours,341 Seats,NA,,NA,NA
SSC CPO Exam," The Staff Selection Commission will release the SSC CPO notification 2023 on July 20, 2023 (Tentative) on the official website at ssc.nic.in. Along with the notification, the commission will release the SSC CPO application form 2023 in online mode. The SSC CPO 2023 application form can be submitted by August 13, 2023. ",Staff Selection Commission Sub Inspector Exam,SSC CPO,Staff Selection Commission,Once a year,NA,"English, Hindi",Online,100 Rs ,Online,Online / Offline,NA,NA,NA,NA,NA,"The exam pattern of SSC CPO 2023  will be released by the Staff Selection Commission. SSC CPO Sub Inspector (SI) 2023 Paper I consist of four subjects – General Intelligence and Reasoning, General Knowledge and General Awareness, Quantitative Aptitude and English Comprehension. Paper 1 will be conducted for 2 hours and consist of 200 marks each.,Candidates who qualify for Paper I will be called for Physical Endurance Test (PET) and Physical Standard Test (PST). Physical Endurance Test is qualifying in nature. Paper 1 will comprise only multiple-choice questions. SSC CPO 2023 exam pattern for Paper 1 is provided below.,Paper II is held to test candidates’ knowledge of English language. Paper 2 is held for 2 hours and comprises 200 marks. Paper 2 contains objective type questions. SSC CPO SI 2023 Paper 2 exam pattern is given below., ,The making scheme of SSC CPO is prescribed by Staff Selection Commission has been provided in the table below."
CGPSC State Service Exam Exam,"CGPSC conducts the State Service exam for candidates who are graduates (in any stream) from a recognized university and have Indian nationality. The age limit of the candidates must be  21-30 years of age. Candidates had to apply online for the application form of CGPSC. The selection of the candidates for CGPSC is done on the basis of pre-exam or screening test and mains exam. Based on the candidates' performance in the pre-exam, candidates will be called for CGPSC 2022 Mains.  Candidates need to appear in the same exam centre allotted on the admit card. However, any changes regarding the same will not be entertained. Candidates must note that the pre-exam acts as a screening test for CGPSC Mains. ",Chhattisgarh Public Service Commission State Services Exam,CGPSC State Service Exam,Chhattisgarh Public Service Commission,Vacancy Based,NA,"English, Hindi",Online,400 Rs ,NA,NA,2 Hours,NA,NA,NA,http://www.psc.cg.gov.in/,"The exam conducting body released the admit card of CGPSC in online mode. Candidates can download their admit card by using the required login credentials - user ID and password in the admit card login window. Only those candidates who have successfully filled in and submitted the application form can download the prelims CGPSC admit card. Along with the admit card candidates are also required to take any one prescribed photo ID proofs to the exam centre.,Candidates qualifying in the prelims exam as well as have successfully registered for mains exam will only be able to download the admit card for CGPSC mains exam. To download the admit card, candidates will have to follow these steps:,The admit card will have information about candidate's name, roll number, registration number, address of the exam centre, photograph and signature etc."
UPSC CSE Exam, The Union Public Service Commission will issue the UPSC IAS admit card 2023 soon for prelims in online mode on the official website at upsc.gov.in. The commission closed the UPSC IAS application form correction window 2023 on February 28. The UPSC IAS application form correction window link 2023 has been activated online on February 22.,UPSC Civil Services Exam,UPSC CSE,Union Public Service Commission,Once a year,NA,"English, Hindi",Offline / Online,100 Rs ,Offline,Offline,NA,1105 Seats,NA,NA,NA,NA
RBI Grade B Officer Exam,"- The Reserve Bank of India has declared the final RBI Grade B result 2022 General, DEPR and DSIM posts online on October 27 on the official website at rbi.org.in. Previously, RBI declared the RBI Grade B 2022 result (phase 1) for the General post on June 7 online on the official website - rbi.org.in.",Reserve Bank of India Grade B Examination,RBI Grade B Officer,Reserve Bank of India,Vacancy Based,NA,"English, Hindi",Online,850 Rs ,Online,NA,NA,294 Seats,NA,NA,NA,"The Exam pattern of RBI Officer Grade B helps the candidates to get an overall idea about the exam. RBI Officer Grade B exam pattern has been released separately for RBI Officers in Grade ‘B’(DR) – General, Officers in Grade ‘B’(DR) – DEPR and Officers in Grade ‘B’(DR) – DSIM. Exam pattern deals with different subjects, topics, and sections, marking scheme and duration of the exam., "
SSC CGL Exam," The Staff Selection Commission will soon release the SSC CGL 2023 answer key tier 2 at ssc.nic.in. The Commission has concluded the SSC CGL exam 2023 for tier 2 on March 7 across the country at various exam centres. The SSC CGL tier 2 exam 2023 has been conducted from March 2 to 7, 2023.",Staff Selection Commission Combined Graduate Level Exam,SSC CGL,Staff Selection Commission,Once a year,NA,"English, Hindi",Online,100 Rs ,Online and Offline,NA,NA,20000 Seats,NA,NA,NA,NA
SSC JHT Exam,"- The Staff Selection Commission has declared the final SSC JHT result 2022 online on February 8 at ssc.nic.in. SSC JHT 2022 exam for paper 2 has been conducted on December 11, 2022. The authorities released the SSC JHT result 2022 for paper 1 online on November 3.",Staff Selection Commission Junior Hindi Translator Exam,SSC JHT,Staff Selection Commission,Once a year,NA,"English, Hindi",Online,100 Rs ,NA,SSC JHT Paper 1 online,NA,NA,NA,NA,https://ssc.nic.in/,"The exam pattern of SSC JHT has been prescribed by SSC. The written exam of SSC JHT comprises two papers – Objective and Conventional type. The objective type questions was conducted in computer-based mode while conventional type paper 2 will be descriptive in nature.,Part 1 objective type paper comprises two subjects – General Hindi and General English. Conventional type paper comprises questions related to translation and essay. There will be a scheme of negative marking for objective type where 0.25 marks will be deducted for each incorrect answer.,The questions asked in paper of SSC JHT will be designed to test the candidates’ understanding of and literature, phrases and idioms, languages correct use of words, and ability to write the languages correctly, precisely and effectively. The questions will be asked at the graduation level.,The question paper of Part 2 will have two passages for translation-one passage for translation from Hindi to English and one for translation from English to Hindi, and an Essay each in Hindi and English, to test the candidates’ translation skills and their ability to write in both the languages."
ICAR Steno and LDC Recruitment Exam,"Agricultural Scientists Recruitment Board (ASRB) conducts Indian Council of Agriculture Research (ICAR) Steno and LDC Recruitment exam to recruit candidates for the posts of Stenographer and Lower Division Clerk (LDC). ICAR is an autonomous body under the Department of Agricultural Research and Education, Ministry of Agriculture and Farmers Welfare, Government of India. To apply for the exam, candidates have to register successfully and proceed to fill all required details in the application form. Candidate having applied for the exam will be issued admit card for the online test. On the basis of the result for online test, selected candidates will be called to appear for Skill Test. After the Skill Test has been conducted, the final result will be announced based on which candidates will be recruited for the posts of Stenographer and Lower Division Clerk under Indian Council of Agriculture Research.",Indian Council of Agriculture Research Steno and LDC Recruitment,ICAR Steno and LDC Recruitment,Agricultural Scientists Recruitment Board,NA,NA,"English, Hindi",Online,700 Rs ,Online,Online / Offline,2 Hours,NA,NA,NA,NA,"ICAR Steno and LDC Recruitment admit card is released by Agricultural Scientists Recruitment Board (ASRB). The Board issues the admit card of ICAR Steno and LDC Recruitment in the online mode. ASRB will send the link of the online admit card to candidates’ registered email ID and mobile number. The admit card will be available for both the stage of the recruitment exam – Computer Based Test and Skill Test. The admit card of skill test will only be issued for those candidates qualifying Computer Based Test. The admit card contains information pertaining to the exam including candidate’s name, roll number, date of birth, date, time, venue of examination and exam day guideline. On the day of the exam, candidates must also carry one valid photo identity proof along with two photographs identical to the one provided during registration.,To download the admit card, candidates have to follow the steps provided below."
TSPSC Group 4 Exam, The Telangana State Public Services Commission will conduct the TSPSC Group-IV Services Examination in 2022. ,Telangana State Public Service Commission Group 4 Exam,TSPSC Group 4,Telangana State Public Service Commission,Vacancy Based,NA,"English, Telugu ",Online,280 Rs ,NA,NA,NA,NA,NA,NA,https://www.tspsc.gov.in/,"The admit card of TSPSC Group IV Recruitment Exam can be downloaded 7 days before the exam is scheduled to take place. Telangana State Public State Commission will issue the TSPSC Group IV hall ticket in online mode for registered candidates in the fourth week of September.,The admit card of TSPSC Exam of Group IV is valid for both Paper 1 and Paper 2. In order to download the hall ticket, candidates must visit the official website of TSPSC and login with their credentials. They must take a printout of the TSPSC admit card of Group IV exam and carry it with them to the exam hall without fail."
TNUSRB SI Exam," Tamil Nadu Uniformed Services Recruitment Board has declared the TNUSRB SI final result 2022 in online on November 19, 2022 on the official website. The TNUSRB SI 2022 final result has been released enrolment-wise and roster-wise.",Tamil Nadu Uniformed Services Recruitment Board Sub Inspector,TNUSRB SI,Tamil Nadu Uniformed Services Recruitment Board,NA,NA,"English, Tamil",Online,500 Rs ,Offline,Offline,2 Hours 30 Minutes,444 Seats,NA,NA,https://www.tnusrb.tn.gov.in/,"Tamil Nadu Uniformed Services Recruitment Board (TNUSRB)is issued online. Candidates who have applied successfully for the exam can download admit card. Candidates can download TNUSRB SI admit card with their user ID and password. The conducting Board will not send the admit through post or any other method. Upon availability of admit card, TNUSRB has sent the link to avail the same on candidates’ registered email ID and mobile number. The procedure to download the admit card are as follows."
RRB ALP & Technician Exam,NA,Railway Recruitment Boards Assistant Loco Pilot and Technicians Exam,RRB ALP & Technician,Railway Recruitment Board,Vacancy Based,NA,"Assamese, Bengali ",Online,500 Rs ,Online,Online / Offline,NA,64371 Seats,NA,NA,NA,NA
SSC GD Constable Exam," The Staff Selection Commission released the provisional SSC GD Constable answer key 2022 online on February 18 on the official website - ssc.nic.in. Candidates can raise objections against the SSC GD Constable 2022 answer key till February 25, 2023. The commission conducted the SSC GD Constable exam 2022 from January 10 to 14, 2023.  ",Staff Selection Commission GD Constable Exam,SSC GD Constable,Staff Selection Commission,Vacancy Based,NA,"English, Hindi",Online,100 Rs ,Online,Offline,NA,45284 Seats,NA,NA,NA,NA
HSSC Group D Exam Exam,Haryana Staff Selection Commission (HSSC) conducts HSSC Group D exam for the recruitment of candidates in its Group D cadre. Candidates who have passes their Matriculation and are between 18 to 42 years of age can apply for the exam. The test is conducted for a total of 100 marks wherein the written part is conducted for 90 marks while socio-economic criteria and experience will be awarded 10 marks. All those candidates who acquire the minimum cut off marks determined by the exam authority are shortlisted for the final recruitment. A pay of Rs. 16900-53500+applicable special pay is given to all the candidates who qualify.,Haryana Staff Selection Commission Group D,HSSC Group D Exam,Haryana Staff Selection Commission,Vacancy Based,NA,NA,Online,100 Rs ,Offline,Offline,1 Hour 30 Minutes,18218 Seats,NA,NA,NA,"HSSC Group D admit card will be released by Haryana Staff Selection Commission online who have successfully registered for the exam. To download admit card, candidates are required to enter the required login credentials. Haryana SSC Group D admit card displays details like candidate’s name, photograph, signature, date, time and address of exam. Along with admit card, candidates will have to carry one photo-identity proof like Identity Card, Driving License, Passport, Voter Card, PAN Card and Aadhaar Card."
PSTET Exam,"State Council of Educational Research & Training (SCERT) conducts PSTET in offline mode to determine the eligibility of candidates as Teachers in classes 1 to 8. PSTET is conducted for two papers – Paper 1 and 2. Paper 1 is conducted for the primary stage for those who wish to become teachers from class 1 to 5 while paper 2 is conducted for the elementary stage for all those who wish to become teachers in classes 6 to 8. Candidates can also take the test for both papers – paper 1 and 2 if they wish to teach in classes I to VIII. In order to apply for PSTET, candidates must have completed their graduation degree with at least 50% marks. Only those candidates qualify PSTET and secure the category wise overall cut off marks determined by the exam conducting authority.",Punjab State Teachers Eligibility Test,PSTET,"State Council of Educational Research & Training, Punjab",Once a year,NA,"English, Hindi",Online,600 Rs ,Offline,NA,NA,NA,NA,NA,https://pstet.pseb.ac.in/,"State Council of Educational Research & Training (SCERT) releases the admit card of PSTET in online mode. All the eligible candidates who fill the application form successfully can download PSTET admit card in online mode.,PSTET admit card are issued for both papers I and II. Candidates can download the admit card of PSTET by using their application number and date of birth. PSTET admit card has details like the candidate’s name, date and time of exam, venue etc.,It is important for the candidates to carry the admit card of PSTET to the exam centre along with one of the prescribed ID proofs - aadhaar card, voter card, PAN card, passport, and driving license. It must be kept in mind that no candidate is allowed to appear for the exam without the admit card."
SBI SO Exam,State Bank of India has released the notification of SBI Specialist Officer (SO) for various posts in Sector Credit,State Bank of India Specialist Officer Examination,SBI SO,State Bank of India,Vacancy Based,NA,"English, Hindi",Online,600 Rs ,NA,Offline,NA,20 Seats,NA,NA,NA,NA
RBI Assistant Exam,"The prelims phase exam of RBI Assistant was held on March 26 & 27, 2022 in online mode.",Reserve Bank of India Assistant Examination,RBI Assistant,Reserve Bank of India,Vacancy Based,NA,"English, Hindi",Online,450 Rs ,Online,Online,NA,NA,NA,NA,NA,"Reserve Bank of India released RBI Assistant 2021 admit cards for prelims online on the official website. RBI Assistant admit card for the preliminary exam has been released for only those candidates who have successfully filled the application form. Candidates can download their admit card of RBI Assistant 2021 by filling in the details like roll number/registration number and DOB/Password.,Candidates must get the admit card printed and bring it to the exam centre on the day of the RBI Assistant examination. Candidates must take a printout of the admit card and carry it along with them to the exam centre on the day of the examination. It is important that candidates must also carry one of their identity proofs along with the admit card of the prelims exam of RBI Assistant. No candidate will be allowed in the examination hall without the admit card of the RBI Assistant., Visit the official website , Click on the link mentioned of admit card , A new window will be opened , Enter the required login credentials , Download and save RBI assistant 2021 admit card ,RBI Assistant Mains admit card will be issued for RBI Assistant 2021 for only those candidates who have qualified in the preliminary examination of the RBI Assistant. To download the admit card of the mains examination of RBI Assistant, candidates must visit the official website, click on the admit card link and fill in the details like registration/roll number and date of birth/password. The admit card will appear on the screen in PDF format.,Candidates can download the PDF and take the printout of the RBI Assistant admit card for the main examination. Candidates need to carry the admit card of the RBI Assistant mains exam at the mains exam centre along with the required document of identification which includes any one of the ID proofs. Candidates will not be able to enter the examination hall if they fail to bring the admit card of RBI Assistant mains examination at the exam centre on the day of the examination."
